2020-01-17 12:09:44 INFO  RadiocontrolAirPage:129 - Select product № 0
2020-01-17 12:09:44 INFO  RadiocontrolAirPage:129 - Select product № 2
2020-01-17 12:09:45 INFO  RadiocontrolAirPage:129 - Select product № 4
2020-01-17 12:09:45 INFO  RadiocontrolAirPage:129 - Select product № 5
2020-01-17 12:09:45 INFO  RadiocontrolAirPage:211 - Verify That Compare Button contains 4 products
2020-01-17 12:09:46 INFO  RadiocontrolAirPage:226 - Passed
2020-01-17 12:09:47 INFO  RadiocontrolAirPage:137 - Open Comparison
2020-01-17 12:09:50 INFO  ComparisonPage:30 - Select Compared Product Index 1
2020-01-17 12:09:50 INFO  ProductPage:77 - Verify That Product Description contains: квадрокоптер
2020-01-17 12:09:50 INFO  ProductPage:79 - Passed
2020-01-17 12:09:50 INFO  ProductPage:91 - Select Left Menu Item: пластик
2020-01-17 12:09:50 INFO  ProductPage:77 - Verify That Product Description contains: бесколлекторный
2020-01-17 12:09:50 INFO  ProductPage:79 - Passed
2020-01-17 12:09:50 INFO  ProductPage:45 - Add Product To Cart
2020-01-17 12:09:50 INFO  ProductPage:62 - Verify Number Of Products In Cart Header
2020-01-17 12:09:51 INFO  ProductPage:66 - Passed
2020-01-17 12:09:52 INFO  ProductPage:55 - Open Cart in Header
2020-01-17 12:09:53 INFO  CartPage:41 - Click Plus Button
2020-01-17 12:09:53 INFO  CartPage:46 - Verify That Total Price is correct
2020-01-17 12:09:53 INFO  CartPage:52 - singlePriceToDouble = 458.0
2020-01-17 12:09:53 INFO  CartPage:55 - singlePriceToDouble = 458.0
2020-01-17 12:09:53 INFO  CartPage:58 - Passed
2020-01-17 12:09:53 INFO  CartPage:65 - Do Checkout
2020-01-17 12:09:53 INFO  CartPage:70 - Verify That Login Popup appears
2020-01-17 12:09:53 INFO  CartPage:75 - Passed
2020-01-17 12:09:55 INFO  BaseTest:79 - Openhttps://onliner.by/
2020-01-17 12:09:55 INFO  QuadrocopterSearchResultsTest:21 -  !!! Startring test: Test #2 !!!
2020-01-17 12:09:55 INFO  BaseTest:85 - Close browserChromeDriver: chrome on WINDOWS (aebef7fc683b17bb3a870761d35ab6e0)
